subj.num,secs.since.peak,avg.signal,sd.signal,mean,sd,z
19,0,1.835257089,0.147660889,0.163326,1.182554,1.413830649
19,0.1,1.13622864,0.280481934,0.163326,1.182554,0.822713077
19,0.2,0.278105037,0.137785467,0.163326,1.182554,0.097060292
19,0.3,-0.246935726,0.125130287,0.163326,1.182554,-0.346928534
19,0.4,-0.295716584,0.133986284,0.163326,1.182554,-0.388178962
19,0.5,-0.805941898,0.100339615,0.163326,1.182554,-0.81963944
19,0.6,-1.363735167,0.241737946,0.163326,1.182554,-1.291324681
19,0.7,-1.063411747,0.421377572,0.163326,1.182554,-1.037362985
19,0.8,-0.341219944,0.293794913,0.163326,1.182554,-0.426657847
19,0.9,0.265929698,0.29599217,0.163326,1.182554,0.086764493
19,1,0.69663889,0.564097823,0.163326,1.182554,0.450983964
19,1.1,1.7013894,0.079212229,0.163326,1.182554,1.30062847
